Ch1(mA), Ch2(mA), Ch3(mA), Ch4(mA), Ch5(mA), Ch6(mA), Ch7(mA), Ch8(mA), Ch9(mA), Ch10(mA), Ch11(mA), Ch12(mA), Ch13(mA), Ch14(mA), Ch15(mA), Ch16(mA), Channel state, On time, Off time, Pulse number, Pattern, Time, Probeflag
0.02933, 0.05376, 0.04399, 0.04399, 0, 0.09775, 0.02933, 0.04888, 0.07331, 0.3128, 0.01466, 0.2297, 0.04888, 0.05376, 0.1564, 0.01466, 1111111111111111, 50, 70, 26, 1/785, 3.067209482192993, False
0.02933, 0.05376, 0.04888, 0.04399, 0, 0.09775, 0.02933, 0.04888, 0.0782, 0.3177, 0.01466, 0.2346, 0.05376, 0.05865, 0.1613, 0.01955, 1111111111111111, 50, 70, 27, 1/785, 3.1868908405303955, False
0.03421, 0.05865, 0.04888, 0.04399, 0, 0.1026, 0.03421, 0.05376, 0.08309, 0.3226, 0.01955, 0.2395, 0.05865, 0.05865, 0.1662, 0.01955, 1111111111111111, 50, 70, 28, 1/785, 3.307636260986328, False
0.03421, 0.05865, 0.04888, 0.04399, 0, 0.1026, 0.03421, 0.05376, 0.08798, 0.3324, 0.01955, 0.2493, 0.05865, 0.05865, 0.1711, 0.02444, 1111111111111111, 50, 70, 29, 1/785, 3.4282960891723633, False
0.03421, 0.06354, 0.04888, 0.04888, 0, 0.1075, 0.03421, 0.05376, 0.08798, 0.3372, 0.01955, 0.259, 0.05865, 0.06354, 0.1808, 0.02444, 1111111111111111, 50, 70, 30, 1/785, 3.547513723373413, False
0.03421, 0.06354, 0.05376, 0.04888, 0, 0.1124, 0.0391, 0.05865, 0.09286, 0.347, 0.01955, 0.2639, 0.06354, 0.06354, 0.1808, 0.02444, 1111111111111111, 50, 70, 31, 1/785, 3.6690146923065186, False
0.0391, 0.06843, 0.05376, 0.05376, 0, 0.1124, 0.0391, 0.05865, 0.09286, 0.347, 0.01955, 0.2688, 0.06354, 0.06843, 0.1857, 0.02444, 1111111111111111, 50, 70, 32, 1/785, 3.7888858318328857, False
0.0391, 0.06843, 0.05376, 0.05376, 0, 0.1222, 0.0391, 0.05865, 0.09775, 0.3568, 0.01955, 0.2786, 0.06354, 0.06843, 0.1906, 0.02444, 1111111111111111, 50, 70, 33, 1/785, 3.907442569732666, False
0.0391, 0.07331, 0.05376, 0.05376, 0, 0.1222, 0.0391, 0.06354, 0.09775, 0.3617, 0.01955, 0.2835, 0.06843, 0.06843, 0.2004, 0.02444, 1111111111111111, 50, 70, 34, 1/785, 4.0296502113342285, False
0.04399, 0.07331, 0.05865, 0.05865, 0, 0.1271, 0.0391, 0.06354, 0.1026, 0.3715, 0.01955, 0.2884, 0.07331, 0.07331, 0.2053, 0.02444, 1111111111111111, 50, 70, 35, 1/785, 4.149136781692505, False
0.0391, 0.0782, 0.05865, 0.05865, 0, 0.132, 0.04399, 0.06843, 0.1075, 0.3763, 0.02444, 0.2933, 0.07331, 0.07331, 0.2102, 0.02933, 1111111111111111, 50, 70, 36, 1/785, 4.267977714538574, False
0.04399, 0.0782, 0.06354, 0.06354, 0, 0.1369, 0.04888, 0.06843, 0.1075, 0.3812, 0.02933, 0.2981, 0.0782, 0.0782, 0.2199, 0.02933, 1111111111111111, 50, 70, 37, 1/785, 4.390040874481201, False
