Ch1(mA), Ch2(mA), Ch3(mA), Ch4(mA), Ch5(mA), Ch6(mA), Ch7(mA), Ch8(mA), Ch9(mA), Ch10(mA), Ch11(mA), Ch12(mA), Ch13(mA), Ch14(mA), Ch15(mA), Ch16(mA), Channel state, On time, Off time, Pulse number, Pattern, Time, Probeflag
0.03421, 0.004888, 0.02933, 0.01955, 0, 0.01955, 0, 0.02444, 0.01955, 0.1369, 0.01466, 0.08309, 0.02933, 0.01466, 0.03421, 0.01466, 1111111111111111, 50, 70, 1, 1/785, 0.05951881408691406, False
0.03421, 0.004888, 0.02933, 0.02444, 0, 0.03421, 0, 0.02933, 0.02933, 0.176, 0.01955, 0.1075, 0.04399, 0.01466, 0.05376, 0.01466, 1111111111111111, 50, 70, 2, 1/785, 0.18059802055358887, False
0.0391, 0.009775, 0.03421, 0.02933, 0, 0.04399, 0.004888, 0.03421, 0.03421, 0.2004, 0.01955, 0.1271, 0.04888, 0.01955, 0.06843, 0.01955, 1111111111111111, 50, 70, 3, 1/785, 0.30099987983703613, False
0.0391, 0.01466, 0.0391, 0.03421, 0, 0.04888, 0.004888, 0.0391, 0.0391, 0.2248, 0.02444, 0.1466, 0.04888, 0.02444, 0.0782, 0.02444, 1111111111111111, 50, 70, 4, 1/785, 0.41991209983825684, False
0.0391, 0.01466, 0.0391, 0.03421, 0, 0.05376, 0.004888, 0.0391, 0.04399, 0.2444, 0.02444, 0.1613, 0.05376, 0.02933, 0.09286, 0.02444, 1111111111111111, 50, 70, 5, 1/785, 0.5414893627166748, False
0.04399, 0.01466, 0.04399, 0.0391, 0, 0.06354, 0.009775, 0.04399, 0.05376, 0.2639, 0.02933, 0.1808, 0.05865, 0.03421, 0.1075, 0.02933, 1111111111111111, 50, 70, 6, 1/785, 0.6618709564208984, False
0.04888, 0.02444, 0.04888, 0.0391, 0, 0.06843, 0.009775, 0.04399, 0.05376, 0.2786, 0.02933, 0.1955, 0.06354, 0.0391, 0.1173, 0.02933, 1111111111111111, 50, 70, 7, 1/785, 0.780383825302124, False
0.04888, 0.02444, 0.05376, 0.04399, 0, 0.07331, 0.009775, 0.04888, 0.05865, 0.2981, 0.02933, 0.2102, 0.06843, 0.0391, 0.1271, 0.02933, 1111111111111111, 50, 70, 8, 1/785, 0.902947187423706, False
0.04888, 0.02933, 0.05376, 0.04399, 0, 0.0782, 0.009775, 0.04888, 0.06354, 0.3079, 0.03421, 0.2248, 0.07331, 0.04399, 0.1417, 0.03421, 1111111111111111, 50, 70, 9, 1/785, 1.0224595069885254, False
0.05376, 0.02933, 0.05865, 0.04888, 0, 0.08309, 0.01466, 0.05376, 0.06354, 0.3226, 0.03421, 0.2346, 0.07331, 0.04888, 0.1515, 0.03421, 1111111111111111, 50, 70, 10, 1/785, 1.1428134441375732, False
0.05376, 0.03421, 0.05865, 0.05376, 0, 0.09286, 0.01466, 0.05865, 0.07331, 0.3324, 0.03421, 0.2493, 0.0782, 0.04888, 0.1564, 0.03421, 1111111111111111, 50, 70, 11, 1/785, 1.2634575366973877, False
